#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
    220  0.039545 -0.027397 -0.136596        1    1.35631617E-07  4.88436285E-07  4.91638136E-07  7.06168532E-07
    221  0.047453 -0.027397 -0.136596        1    7.11409690E-07  1.04214552E-06  4.82703847E-07  1.35099002E-06
    222  0.055362 -0.027397 -0.136596        1    3.17508972E-08  7.36235401E-07  4.51695014E-08  7.38302763E-07
    223  0.063271 -0.027397 -0.136596        1    6.90600727E-07  1.67051216E-06  8.25709167E-07  1.98729360E-06
    224  0.071180 -0.027397 -0.136596        1    1.65808077E-07  4.12414571E-08  3.71986237E-07  4.09349407E-07
    225  0.079089 -0.027397 -0.136596        1    1.58633152E-06  7.46726077E-08  3.16893044E-08  1.58840420E-06
    226 -0.106770 -0.020548 -0.136596        1    2.93379298E-09  2.08036981E-07  2.92498598E-06  2.93237633E-06
    227 -0.098861 -0.020548 -0.136596        1    3.31498031E-07  2.54094242E-07  7.51596217E-07  8.59855629E-07
    228 -0.090952 -0.020548 -0.136596        1    6.20143559E-08  6.22622080E-07  1.82334063E-07  6.51728275E-07
    229 -0.083044 -0.020548 -0.136596        1    3.19915217E-07  3.21823548E-07  1.50978820E-07  4.78237123E-07
    230 -0.075135 -0.020548 -0.136596        1    2.09478011E-07  2.49313127E-07  9.94348262E-08  3.40478130E-07
    231 -0.067226 -0.020548 -0.136596        1    1.51768308E-07  3.42149091E-07  5.78430922E-07  6.88971662E-07
    232 -0.059317 -0.020548 -0.136596        1    1.12633882E-06  1.60709248E-07  3.73609222E-07  1.19751846E-06
    233 -0.051408 -0.020548 -0.136596        1    1.75375043E-06  5.46195919E-07  3.41148230E-07  1.86824855E-06
    234 -0.043499 -0.020548 -0.136596        1    6.33963511E-08  6.03727597E-07  7.50383956E-08  6.11667286E-07
